Lokalita,Slovenský názov,Latinský názov,Lokalita_druh,Lat,Lon,Početnosť,"Min, Hg (mg/kg SH)","Max, Hg (mg/kg SH)2","Min, THQ","Max, THQ2","Min, MSCQ (g/osoba/deň)","Max, MSCQ (g/osoba/deň)2",Hgmin-max (mg/kg SH),THQmin-max,MSCQmin-max (g/osoba/deň ČH),Link,Foto
Počúvadlianske jazero_koliba Veronika,Kozák hrabový,Leccinum pseudoscabrum,Počúvadlianske jazero_koliba Veronika: Kozák hrabový,"48,405538","18,850633",3,"0,280638","0,375209","0,018358","0,024544","559,688067","748,294957","0,281 - 0,375","0,018 - 0,025","559,7 - 748,3",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Podbrezová,Kozák hrabový,Leccinum pseudoscabrum,Podbrezová: Kozák hrabový,"48,805070","19,516580",1,"0,364914","0,364914","0,023870","0,023870","575,478058","575,478058","0,365 - 0,365","0,024 - 0,024","575,5 - 575,5",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Podháj - Podstráne,Kozák hrabový,Leccinum pseudoscabrum,Podháj - Podstráne: Kozák hrabový,"49,083730","18,866088",1,"0,649579","0,649579","0,042491","0,042491","323,286313","323,286313","0,65 - 0,65","0,042 - 0,042","323,3 - 323,3",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Podholie - Žakýlske pleso,Kozák hrabový,Leccinum pseudoscabrum,Podholie - Žakýlske pleso: Kozák hrabový,"48,522195","18,927565",7,"0,218437","0,705293","0,014289","0,046136","297,748595","961,375591","0,218 - 0,705","0,014 - 0,046","297,7 - 961,4",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Rosina,Kozák hrabový,Leccinum pseudoscabrum,Rosina: Kozák hrabový,"49,175839","18,783580",1,"2,573643","2,573643","0,168352","0,168352","81,596399","81,596399","2,574 - 2,574","0,168 - 0,168","81,6 - 81,6",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Sitnianska Lehôtka_Plošťať,Kozák hrabový,Leccinum pseudoscabrum,Sitnianska Lehôtka_Plošťať: Kozák hrabový,"48,318800","18,968900",3,"0,257559","0,624329","0,016848","0,040840","336,361117","815,347163","0,258 - 0,624","0,017 - 0,041","336,4 - 815,3",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Skýcov_2,Kozák hrabový,Leccinum pseudoscabrum,Skýcov_2: Kozák hrabový,"48,534370","18,482570",1,"0,594838","0,594838","0,038911","0,038911","353,037298","353,037298","0,595 - 0,595","0,039 - 0,039",353 - 353,https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Smolenice,Kozák hrabový,Leccinum pseudoscabrum,Smolenice: Kozák hrabový,"48,513050","17,419500",4,"0,562612","0,774329","0,036803","0,050652","271,202551","373,259013","0,563 - 0,774","0,037 - 0,051","271,2 - 373,3",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Smolník - Štóske sedlo,Kozák hrabový,Leccinum pseudoscabrum,Smolník - Štóske sedlo: Kozák hrabový,"48,722918","20,762127",4,"3,870098","17,122093","0,253158","1,120020","12,264856","54,262192","3,87 - 17,122","0,253 - 1,12","12,3 - 54,3",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Suchý vrch_vlek,Kozák hrabový,Leccinum pseudoscabrum,Suchý vrch_vlek: Kozák hrabový,"48,721770","19,062270",5,"0,330840","1,548165","0,021641","0,101271","135,644457","634,747914","0,331 - 1,548","0,022 - 0,101","135,6 - 634,7",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Šášovské Podhradie_hrad,Kozák hrabový,Leccinum pseudoscabrum,Šášovské Podhradie_hrad: Kozák hrabový,"48,579320","18,908380",1,"0,507340","0,507340","0,033187","0,033187","413,923602","413,923602","0,507 - 0,507","0,033 - 0,033","413,9 - 413,9",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Štefanská Huta - Uhliská,Kozák hrabový,Leccinum pseudoscabrum,Štefanská Huta - Uhliská: Kozák hrabový,"48,911434","20,940786",2,"1,697827","3,897531","0,111061","0,254952","53,880264","123,687514","1,698 - 3,898","0,111 - 0,255","53,9 - 123,7",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Štiavnik_ráztoka,Kozák hrabový,Leccinum pseudoscabrum,Štiavnik_ráztoka: Kozák hrabový,"49,311500","18,413620",5,"0,136285","1,651996","0,008915","0,108063","127,118952","1 540,888579","0,136 - 1,652","0,009 - 0,108","127,1 - 1540,9",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Trstín_Raková,Kozák hrabový,Leccinum pseudoscabrum,Trstín_Raková: Kozák hrabový,"48,560952","17,455581",1,"1,234532","1,234532","0,080755","0,080755","170,104947","170,104947","1,235 - 1,235","0,081 - 0,081","170,1 - 170,1",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Veľká Domaša - VN,Kozák hrabový,Leccinum pseudoscabrum,Veľká Domaša - VN: Kozák hrabový,"49,025040","21,706220",1,"1,116873","1,116873","0,073059","0,073059","188,024959","188,024959","1,117 - 1,117","0,073 - 0,073",188 - 188,https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Veľká Franková_Hanušovské sedlo,Kozák hrabový,Leccinum pseudoscabrum,Veľká Franková_Hanušovské sedlo: Kozák hrabový,"49,330043","20,314907",4,"0,252492","0,755863","0,016516","0,049444","277,828125","831,709520","0,252 - 0,756","0,017 - 0,049","277,8 - 831,7",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Zlatno,Kozák hrabový,Leccinum pseudoscabrum,Zlatno: Kozák hrabový,"48,474892","18,304481",1,"0,595010","0,595010","0,038922","0,038922","352,935245","352,935245","0,595 - 0,595","0,039 - 0,039","352,9 - 352,9",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Zvolen_pod dráhy,Kozák hrabový,Leccinum pseudoscabrum,Zvolen_pod dráhy: Kozák hrabový,"48,564100","19,128970",6,"0,387324","0,646011","0,025336","0,042258","325,071864","542,181739","0,387 - 0,646","0,025 - 0,042","325,1 - 542,2",https://www.nahuby.sk/atlas-hub/Leccinum-pseudoscabrum/kozak-hrabovy/kozak-habrovy/ID209,
Detvienska Huta_Dobroč,Kozák osikový,Leccinum albostipitatum,Detvienska Huta_Dobroč: Kozák osikový,"48,527870","19,565150",7,"0,808072","4,123497","0,052859","0,269733","50,927647","259,877833","0,808 - 4,123","0,053 - 0,27","50,9 - 259,9",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Dobrá Niva - Gavurky,Kozák osikový,Leccinum albostipitatum,Dobrá Niva - Gavurky: Kozák osikový,"48,462100","19,131750",1,"1,722045","1,722045","0,112645","0,112645","121,948033","121,948033","1,722 - 1,722","0,113 - 0,113","121,9 - 121,9",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Dúbrava-odkalisko,Kozák osikový,Leccinum albostipitatum,Dúbrava-odkalisko: Kozák osikový,"48,988977","19,507301",2,"1,721653","1,735897","0,112620","0,113551","120,974920","121,975799","1,722 - 1,736","0,113 - 0,114",121 - 122,https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Giglovce_Oľka,Kozák osikový,Leccinum albostipitatum,Giglovce_Oľka: Kozák osikový,"48,994280","21,720080",1,"0,700478","0,700478","0,045821","0,045821","299,795283","299,795283","0,7 - 0,7","0,046 - 0,046","299,8 - 299,8",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Hodruša-Hámre_Kopanice,Kozák osikový,Leccinum albostipitatum,Hodruša-Hámre_Kopanice: Kozák osikový,"48,442434","18,801284",3,"0,414392","1,615439","0,027107","0,105672","129,995624","506,766540","0,414 - 1,615","0,027 - 0,106","130 - 506,8",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Krpáčovo_pamätník SNP,Kozák osikový,Leccinum albostipitatum,Krpáčovo_pamätník SNP: Kozák osikový,"48,870136","19,531116",1,"0,843457","0,843457","0,055174","0,055174","248,975348","248,975348","0,843 - 0,843","0,055 - 0,055",249 - 249,https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Lazy pod Makytou - Panština,Kozák osikový,Leccinum albostipitatum,Lazy pod Makytou - Panština: Kozák osikový,"49,245050","18,224730",6,"0,284305","2,350027","0,018597","0,153724","89,360675","738,643358","0,284 - 2,35","0,019 - 0,154","89,4 - 738,6",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Liptovská Lúžna,Kozák osikový,Leccinum albostipitatum,Liptovská Lúžna: Kozák osikový,"48,946734","19,359311",4,"1,079027","2,125313","0,070583","0,139025","98,808975","194,619783","1,079 - 2,125","0,071 - 0,139","98,8 - 194,6",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Liptovská Lúžna_ráztoky,Kozák osikový,Leccinum albostipitatum,Liptovská Lúžna_ráztoky: Kozák osikový,"48,954904","19,305107",5,"0,723754","2,442596","0,047343","0,159779","85,974103","290,153837","0,724 - 2,443","0,047 - 0,16","86 - 290,2",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Liptovské Revúce - Nižná Revúca,Kozák osikový,Leccinum albostipitatum,Liptovské Revúce - Nižná Revúca: Kozák osikový,"48,927252","19,207368",4,"0,416000","1,214000","0,027212","0,079412","172,981878","504,807692","0,416 - 1,214","0,027 - 0,079","173 - 504,8",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Malá Franková,Kozák osikový,Leccinum albostipitatum,Malá Franková: Kozák osikový,"49,325492","20,303799",2,"1,003755","1,970528","0,065659","0,128900","106,570422","209,214400","1,004 - 1,971","0,066 - 0,129","106,6 - 209,2",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Malachov - Hrádok,Kozák osikový,Leccinum albostipitatum,Malachov - Hrádok: Kozák osikový,"48,705354","19,071792",1,"1,880635","1,880635","0,123019","0,123019","111,664411","111,664411","1,881 - 1,881","0,123 - 0,123","111,7 - 111,7",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Malachov_sady,Kozák osikový,Leccinum albostipitatum,Malachov_sady: Kozák osikový,"48,718064","19,088006",1,"0,411413","0,411413","0,026912","0,026912","510,435985","510,435985","0,411 - 0,411","0,027 - 0,027","510,4 - 510,4",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Malý Lipník,Kozák osikový,Leccinum albostipitatum,Malý Lipník: Kozák osikový,"49,328320","20,798980",1,"2,392318","2,392318","0,156490","0,156490","87,780972","87,780972","2,392 - 2,392","0,156 - 0,156","87,8 - 87,8",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Mníšek nad Popradom_cintorín,Kozák osikový,Leccinum albostipitatum,Mníšek nad Popradom_cintorín: Kozák osikový,"49,415316","20,714786",6,"5,493331","7,950498","0,359339","0,520072","26,413440","38,228172","5,493 - 7,95","0,359 - 0,52","26,4 - 38,2",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Nová Baňa_Jarmila,Kozák osikový,Leccinum albostipitatum,Nová Baňa_Jarmila: Kozák osikový,"48,454550","18,640170",1,"0,652949","0,652949","0,042712","0,042712","321,617768","321,617768","0,653 - 0,653","0,043 - 0,043","321,6 - 321,6",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Osrblie,Kozák osikový,Leccinum albostipitatum,Osrblie: Kozák osikový,"48,753120","19,521268",4,"0,074198","1,102754","0,004854","0,072135","190,432318","2 830,272596","0,074 - 1,103","0,005 - 0,072","190,4 - 2830,3",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Raková_Krížkovci,Kozák osikový,Leccinum albostipitatum,Raková_Krížkovci: Kozák osikový,"49,486958","18,686910",2,"1,374899","1,710027","0,089937","0,111859","122,805079","152,738492","1,375 - 1,71","0,09 - 0,112","122,8 - 152,7",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Rosina,Kozák osikový,Leccinum albostipitatum,Rosina: Kozák osikový,"49,175839","18,783580",1,"1,307618","1,307618","0,085536","0,085536","160,597361","160,597361","1,308 - 1,308","0,086 - 0,086","160,6 - 160,6",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Spišské Tomášovce - Džurkovec,Kozák osikový,Leccinum albostipitatum,Spišské Tomášovce - Džurkovec: Kozák osikový,"48,943130","20,474270",2,"5,133973","9,130731","0,335832","0,597275","22,999254","40,903994","5,134 - 9,131","0,336 - 0,597","23 - 40,9",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Stráňany,Kozák osikový,Leccinum albostipitatum,Stráňany: Kozák osikový,"49,372817","20,560452",7,"0,553750","3,261856","0,036223","0,213370","64,380524","379,232506","0,554 - 3,262","0,036 - 0,213","64,4 - 379,2",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Suchý vrch_vlek,Kozák osikový,Leccinum albostipitatum,Suchý vrch_vlek: Kozák osikový,"48,721770","19,062270",5,"0,241405","9,745295","0,015791","0,637476","21,548860","869,907417","0,241 - 9,745","0,016 - 0,637","21,5 - 869,9",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Špania Dolina,Kozák osikový,Leccinum albostipitatum,Špania Dolina: Kozák osikový,"48,805515","19,137534",7,"0,276963","1,079108","0,018117","0,070588","194,605174","758,224023","0,277 - 1,079","0,018 - 0,071","194,6 - 758,2",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Štiavnik_ráztoka,Kozák osikový,Leccinum albostipitatum,Štiavnik_ráztoka: Kozák osikový,"49,311500","18,413620",1,"0,445902","0,445902","0,029168","0,029168","470,955501","470,955501","0,446 - 0,446","0,029 - 0,029",471 - 471,https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Zlatno,Kozák osikový,Leccinum albostipitatum,Zlatno: Kozák osikový,"48,474892","18,304481",1,"0,966844","0,966844","0,063245","0,063245","217,201534","217,201534","0,967 - 0,967","0,063 - 0,063","217,2 - 217,2",https://www.nahuby.sk/atlas-hub/Leccinum-albostipitatum/kozak-osikovy/kremenac-osikovy-belotrenovy/ID210,
Hrochoť - Kyslinky,Kozák smrekový,Leccinum piceinum,Hrochoť - Kyslinky: Kozák smrekový,"48,654920","19,420120",1,"0,601238","0,601238","0,039329","0,039329","349,279320","349,279320","0,601 - 0,601","0,039 - 0,039","349,3 - 349,3",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Kurimka - Dlhá Hora,Kozák smrekový,Leccinum piceinum,Kurimka - Dlhá Hora: Kozák smrekový,"49,315661","21,419893",1,"4,763654","4,763654","0,311608","0,311608","44,083806","44,083806","4,764 - 4,764","0,312 - 0,312","44,1 - 44,1",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Látky_sedlo Prašivá,Kozák smrekový,Leccinum piceinum,Látky_sedlo Prašivá: Kozák smrekový,"48,600985","19,662733",3,"0,190797","1,764337","0,012481","0,115412","119,024880","1 100,646237","0,191 - 1,764","0,012 - 0,115","119 - 1100,6",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Lukov - Malcov,Kozák smrekový,Leccinum piceinum,Lukov - Malcov: Kozák smrekový,"49,284355","21,060057",1,"4,508262","4,508262","0,294902","0,294902","46,581144","46,581144","4,508 - 4,508","0,295 - 0,295","46,6 - 46,6",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Nižná boca_vysielač,Kozák smrekový,Leccinum piceinum,Nižná boca_vysielač: Kozák smrekový,"48,952270","19,764820",7,"0,749731","2,277208","0,049043","0,148961","92,218190","280,100463","0,75 - 2,277","0,049 - 0,149","92,2 - 280,1",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Oravská Lesná,Kozák smrekový,Leccinum piceinum,Oravská Lesná: Kozák smrekový,"49,391320","19,202650",4,"0,608051","2,115350","0,039775","0,138373","99,274352","345,365767","0,608 - 2,115","0,04 - 0,138","99,3 - 345,4",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Osturňa,Kozák smrekový,Leccinum piceinum,Osturňa: Kozák smrekový,"49,327048","20,188124",9,"0,024099","3,153041","0,001576","0,206252","66,602369","8 714,054525","0,024 - 3,153","0,002 - 0,206","66,6 - 8714,1",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Špania Dolina,Kozák smrekový,Leccinum piceinum,Špania Dolina: Kozák smrekový,"48,805515","19,137534",1,"0,560978","0,560978","0,036696","0,036696","374,346231","374,346231","0,561 - 0,561","0,037 - 0,037","374,3 - 374,3",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Železnô_vlek,Kozák smrekový,Leccinum piceinum,Železnô_vlek: Kozák smrekový,"48,949149","19,399763",3,"0,317000","0,510000","0,020736","0,033361","411,764706","662,460568","0,317 - 0,51","0,021 - 0,033","411,8 - 662,5",https://www.nahuby.sk/atlas-hub/Leccinum-piceinum/kozak-smrekovy/kremenac-smrkovy/ID212,
Bánov_štrkovisko,Kozák topoľový,Leccinum duriusculum,Bánov_štrkovisko: Kozák topoľový,"48,051930","18,220272",5,"0,159632","0,439815","0,010442","0,028770","477,473158","1 315,525709","0,16 - 0,44","0,01 - 0,029","477,5 - 1315,5",https://www.nahuby.sk/atlas-hub/Leccinum-duriusculum/kozak-topolovy/kozak-topolovy/ID214,
Malachov_sady,Kozák topoľový,Leccinum duriusculum,Malachov_sady: Kozák topoľový,"48,718064","19,088006",1,"0,598993","0,598993","0,039182","0,039182","350,588404","350,588404","0,599 - 0,599","0,039 - 0,039","350,6 - 350,6",https://www.nahuby.sk/atlas-hub/Leccinum-duriusculum/kozak-topolovy/kozak-topolovy/ID214,
Snina_Štefkovo,Kozák topoľový,Leccinum duriusculum,Snina_Štefkovo: Kozák topoľový,"48,962551","22,188816",6,"0,247760","0,962862","0,016207","0,062984","218,099790","847,594446","0,248 - 0,963","0,016 - 0,063","218,1 - 847,6",https://www.nahuby.sk/atlas-hub/Leccinum-duriusculum/kozak-topolovy/kozak-topolovy/ID214,
Dražice,Kozák žltooranžový,Leccinum versipelle,Dražice: Kozák žltooranžový,"48,436341","20,049118",3,"3,202378","5,186813","0,209479","0,339289","40,487290","65,576269","3,202 - 5,187","0,209 - 0,339","40,5 - 65,6",https://www.nahuby.sk/atlas-hub/Leccinum-versipelle/kozak-zltooranzovy/kremenac-brezovy/ID216,
Livov,Kozák žltooranžový,Leccinum versipelle,Livov: Kozák žltooranžový,"49,251531","21,108371",1,"1,120775","1,120775","0,073314","0,073314","187,370346","187,370346","1,121 - 1,121","0,073 - 0,073","187,4 - 187,4",https://www.nahuby.sk/atlas-hub/Leccinum-versipelle/kozak-zltooranzovy/kremenac-brezovy/ID216,
Lukov - Malcov,Kozák žltooranžový,Leccinum versipelle,Lukov - Malcov: Kozák žltooranžový,"49,284355","21,060057",3,"0,324605","2,164592","0,021234","0,141594","97,015973","646,940127","0,325 - 2,165","0,021 - 0,142","97 - 646,9",https://www.nahuby.sk/atlas-hub/Leccinum-versipelle/kozak-zltooranzovy/kremenac-brezovy/ID216,
Bačkov,Kuriatko jedlé,Cantharellus cibarius,Bačkov: Kuriatko jedlé,"48,758670","21,605610",2,"0,023557","0,068678","0,001541","0,004492","3 057,747750","8 914,547693","0,024 - 0,069","0,002 - 0,004","3057,7 - 8914,5",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Bachledova dolina_vlek,Kuriatko jedlé,Cantharellus cibarius,Bachledova dolina_vlek: Kuriatko jedlé,"49,268745","20,312682",8,"0,023227","0,228179","0,001519","0,014926","920,330092","9 041,202049","0,023 - 0,228","0,002 - 0,015","920,3 - 9041,2",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Banská Štiavnica_Rozgrund,Kuriatko jedlé,Cantharellus cibarius,Banská Štiavnica_Rozgrund: Kuriatko jedlé,"48,483699","18,873316",6,"0,026874","0,045410","0,001758","0,002970","4 624,532041","7 814,244251","0,027 - 0,045","0,002 - 0,003","4624,5 - 7814,2",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Bobrov,Kuriatko jedlé,Cantharellus cibarius,Bobrov: Kuriatko jedlé,"49,480420","19,564330",6,"0,046725","0,122261","0,003056","0,007998","1 717,636859","4 494,382022","0,047 - 0,122","0,003 - 0,008","1717,6 - 4494,4",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Breziny_kameňolom,Kuriatko jedlé,Cantharellus cibarius,Breziny_kameňolom: Kuriatko jedlé,"48,522980","19,096690",1,"0,018846","0,018846","0,001233","0,001233","11 142,948110","11 142,948110","0,019 - 0,019","0,001 - 0,001","11142,9 - 11142,9",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Breziny_vodná nádrž,Kuriatko jedlé,Cantharellus cibarius,Breziny_vodná nádrž: Kuriatko jedlé,"48,500030","19,067430",1,"0,044381","0,044381","0,002903","0,002903","4 731,754580","4 731,754580","0,044 - 0,044","0,003 - 0,003","4731,8 - 4731,8",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Čierny Balog_Medveďov,Kuriatko jedlé,Cantharellus cibarius,Čierny Balog_Medveďov: Kuriatko jedlé,"48,745900","19,612780",2,"0,022347","0,032351","0,001462","0,002116","6 491,298569","9 397,234528","0,022 - 0,032","0,001 - 0,002","6491,3 - 9397,2",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Čierny Balog_Sihla,Kuriatko jedlé,Cantharellus cibarius,Čierny Balog_Sihla: Kuriatko jedlé,"48,690300","19,660230",4,"0,014993","0,045948","0,000981","0,003006","4 570,383912","14 006,536380","0,015 - 0,046","0,001 - 0,003","4570,4 - 14006,5",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Detvienska Huta_Dobroč,Kuriatko jedlé,Cantharellus cibarius,Detvienska Huta_Dobroč: Kuriatko jedlé,"48,527870","19,565150",6,"0,036949","0,072923","0,002417","0,004770","2 879,749873","5 683,509703","0,037 - 0,073","0,002 - 0,005","2879,7 - 5683,5",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Dolné Breziny,Kuriatko jedlé,Cantharellus cibarius,Dolné Breziny: Kuriatko jedlé,"48,525200","19,080470",1,"0,042206","0,042206","0,002761","0,002761","4 975,595887","4 975,595887","0,042 - 0,042","0,003 - 0,003","4975,6 - 4975,6",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Duchonka,Kuriatko jedlé,Cantharellus cibarius,Duchonka: Kuriatko jedlé,"48,669040","18,099310",6,"0,203661","1,138142","0,013322","0,074450","184,511247","1 031,125252","0,204 - 1,138","0,013 - 0,074","184,5 - 1031,1",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Habovka,Kuriatko jedlé,Cantharellus cibarius,Habovka: Kuriatko jedlé,"49,273050","19,640100",8,"0,020433","0,038774","0,001337","0,002536","5 416,014381","10 277,492290","0,02 - 0,039","0,001 - 0,003","5416 - 10277,5",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Heľpa - Brestinka,Kuriatko jedlé,Cantharellus cibarius,Heľpa - Brestinka: Kuriatko jedlé,"48,839015","19,970191",3,"0,044303","0,096489","0,002898","0,006312","2 176,413892","4 740,085322","0,044 - 0,096","0,003 - 0,006","2176,4 - 4740,1",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Hodruša - Hámre,Kuriatko jedlé,Cantharellus cibarius,Hodruša - Hámre: Kuriatko jedlé,"48,469070","18,755280",2,"0,021824","0,034070","0,001428","0,002229","6 163,780452","9 622,434018","0,022 - 0,034","0,001 - 0,002","6163,8 - 9622,4",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Horná Mariková - Stolečné,Kuriatko jedlé,Cantharellus cibarius,Horná Mariková - Stolečné: Kuriatko jedlé,"49,278890","18,259543",5,"0,092882","0,224706","0,006076","0,014699","934,554485","2 260,933227","0,093 - 0,225","0,006 - 0,015","934,6 - 2260,9",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
Horné Opatovce,Kuriatko jedlé,Cantharellus cibarius,Horné Opatovce: Kuriatko jedlé,"48,556650","18,861230",1,"0,026909","0,026909","0,001760","0,001760","7 804,080419","7 804,080419","0,027 - 0,027","0,002 - 0,002","7804,1 - 7804,1",https://www.nahuby.sk/atlas-hub/Cantharellus-cibarius/kuriatko-jedle/liska-obecna/ID231,
